0,1,1,0,0,0,0,0,6,5,4,12,7,26,6,8,4,3,8,2,3,3,2,0,
0,0,1,0,0,0,0,0,0,0,0,9,10,10,7,10,5,1,2,8,2,0,1,1,
17,20,4,6,7,2,0,0,0,10,3,9,27,37,30,26,36,45,39,19,25,14,19,28,
41,22,17,8,9,2,0,1,2,12,5,33,32,37,29,40,40,42,39,7,2,17,23,13,
0,0,0,0,0,0,0,0,0,1,0,2,2,1,1,2,6,4,10,1,1,1,0,0,
2,0,0,0,1,0,0,0,3,8,11,14,19,19,10,17,19,4,5,10,2,1,4,4,
0,0,0,0,0,0,0,0,0,0,0,11,15,24,23,11,33,19,19,13,8,3,1,1,
0,4,1,0,0,0,0,0,2,3,4,14,17,9,10,6,10,7,8,0,2,2,2,1,
25,3,2,0,0,2,0,0,6,12,21,24,62,33,15,22,11,10,15,22,19,9,20,10,
30,47,47,28,11,7,8,8,16,35,19,23,47,46,26,38,29,33,42,37,36,39,34,20,
0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,
0,0,0,0,0,0,0,0,0,1,1,1,2,7,5,3,4,0,1,1,2,0,0,0,
0,2,11,0,2,5,7,0,0,0,1,3,1,19,16,1,3,3,7,6,8,1,1,8,
27,15,18,3,2,0,0,0,0,0,3,4,17,16,18,23,19,22,27,31,23,24,34,24,
12,9,8,0,0,0,0,1,13,11,13,14,33,33,15,21,34,28,34,25,15,18,5,11,
19,10,5,7,4,0,3,3,1,9,2,9,14,21,18,28,21,30,23,15,21,19,17,17,
1,0,1,1,0,0,0,0,0,1,1,0,5,1,4,9,3,10,5,5,12,6,1,4,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,
21,32,25,14,9,13,6,3,7,10,11,9,9,19,15,21,21,13,39,47,37,46,26,22,
0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,1,1,0,3,1,5,3,0,0,
19,22,24,16,16,21,10,13,13,22,14,14,30,32,20,33,26,30,32,30,24,26,46,21,
